127.0.0.1 - - [04/Sep/2019:20:06:19 -0500] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:06:21 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1647
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:06:21 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:17 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1206
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:17 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:19 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:19 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:21 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:21 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:22 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:07:22 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:09:10 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:09:10 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:09:11 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:09:11 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:09:11 -0500] "GET /Capstone/index.jsp HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [04/Sep/2019:20:09:11 -0500] "GET /Capstone/styles.css HTTP/1.1" 404 1097
